codigo_cliente;nome_cliente;idade_cliente;email_cliente
62;"Acton T. Mcgowan";73;malesuada@risusDuisa.org
70;"Alfonso O. Foster";47;Duis.at.lacus@Etiamligula.net
81;"Amelia Stevenson";19;parturient@orciinconsequat.edu
15;"Amena I. Murray";35;dapibus.quam.quis@malesuadaiderat.ca
27;"Amethyst T. Banks";29;auctor@loremfringillaornare.com
59;"Aurelia B. Pruitt";93;est@arcuet.co.uk
92;"Aurora Macdonald";88;orci.sem@senectus.edu
43;"Azalia H. Petersen";22;malesuada@faucibusleo.net
91;"Berk Vaughn";85;erat.volutpat.Nulla@aliquam.edu
68;"Blaze Hull";100;ut@vulputateposuerevulputate.org
40;"Bree H. Meadows";98;eu@malesuadavel.edu
7;"Brody Y. Mckinney";68;augue.scelerisque@ametmassa.edu
78;"Caleb Y. Dyer";24;vel.convallis@atnisi.ca
72;"Callum Jacobs";34;elit.pede@penatibusetmagnis.edu
2;"Carlos Eduardo";23;carlose@itau.com.br
75;"Carter A. Sheppard";98;Proin@magna.edu
84;"Carter Mclaughlin";46;neque@ipsumPhasellusvitae.com
102;"Caryn Underwood";67;lacus.Quisque.imperdiet@enimcondimentum.ca
38;"Chadwick Lane";21;a@elementumpurusaccumsan.co.uk
31;"Cherokee L. Conley";71;urna.convallis@posuerecubiliaCurae.co.uk
30;"Cheyenne J. Collier";88;luctus.aliquet.odio@fringillaporttitor.com
47;"Christian D. Barnes";55;orci@Curabitursed.org
18;"Claudia D. Wilder";20;penatibus@VivamusnisiMauris.org
60;"Connor G. Strickland";34;quis.pede@Nullafacilisi.net
77;"Cyrus Barber";84;et.netus.et@arcuvelquam.ca
12;"Dante K. Potts";56;molestie.dapibus@vehiculaaliquetlibero.com
35;"Dante Roberson";94;ipsum.Curabitur.consequat@velquamdignissim.org
88;"Derek Boyd";82;Donec@tellussem.org
101;"Desirae Higgins";35;pellentesque@nullaInteger.com
73;"Dominic I. Dunlap";26;fringilla.mi@amet.org
45;"Donna J. Rosa";100;urna.Vivamus.molestie@penatibusetmagnis.com
9;"Donovan O. Vega";59;lobortis.nisi.nibh@egetmagna.edu
34;"Francis Boyer";30;ipsum@aceleifend.org
24;"Freya Rush";73;a.arcu@amet.com
32;"Gavin Peters";49;mollis.lectus.pede@loremauctorquis.net
22;"George Kerr";57;ipsum@pede.edu
97;"Georgia B. Goff";52;malesuada.id@Proin.ca
28;"Ginger William";68;ut.mi.Duis@enim.net
82;"Grady E. Johnson";46;egestas.nunc@ipsumSuspendisse.org
96;"Guinevere V. Gonzalez";43;egestas.a.scelerisque@facilisis.ca
57;"Hector D. Soto";38;vestibulum.Mauris@iaculis.ca
17;"Hilary James";65;nibh.Aliquam.ornare@neque.co.uk
104;"Holmes C. York";36;sit.amet@blanditviverra.org
13;"Hoyt L. Oconnor";47;amet.massa.Quisque@nisia.com
4;"Icaro Araujo";20;icaro@itau.com.br
26;"Ignacia Y. Rowe";71;lorem@elitsed.co.uk
11;"Ila Y. Adams";42;risus.quis@Innec.com
44;"Ivy D. Kidd";84;Duis@Aliquamadipiscing.ca
48;"Jamal P. Benson";43;et.eros@imperdiet.edu
52;"Jasmine Kelly";58;mattis@inconsectetuer.ca
99;"Karly Clayton";30;pharetra.felis.eget@fringillamilacinia.org
10;"Karly V. Rollins";64;Vivamus.non.lorem@Sed.ca
3;"Laís Lara";18;laisl@itau.com.br
61;"Lane K. Fox";76;sollicitudin.adipiscing@Craslorem.ca
98;"Latifah W. Berry";92;vitae.aliquet.nec@eratSed.edu
14;"Lenore Wilson";60;ligula.Donec@est.co.uk
54;"Lillian G. Salazar";76;rutrum.justo.Praesent@risusvarius.co.uk
8;"Lucy Pearson";76;et@arcu.org
1;"Luiz Brito";28;luizb@itau.com.br
29;"Madeson C. Adams";44;eget.nisi@euaugue.net
55;"Madonna Rowe";50;nec.leo@ultricesposuere.org
58;"Malachi Witt";54;pede.blandit.congue@quis.co.uk
66;"Mari Davenport";33;quam@elitfermentum.org
93;"Martena X. Fitzpatrick";54;lorem.sit.amet@tinciduntnibhPhasellus.com
100;"Maryam Mercado";51;ornare@nonummy.ca
25;"May Armstrong";26;arcu@mauris.net
5;"Megan Caldwell";82;metus.vitae@nisi.net
50;"Melanie Levy";31;dictum.eu@sodalesat.net
16;"Mercedes Pearson";41;enim@viverraMaecenasiaculis.ca
51;"Meredith Tran";73;ullamcorper.viverra.Maecenas@euduiCum.com
33;"Miriam A. Hess";67;enim.Etiam@duiquis.ca
39;"Nasim N. Cleveland";18;felis.ullamcorper.viverra@semperetlacinia.net
76;"Nasim Orr";42;Mauris@Morbi.ca
63;"Nehru I. Carter";56;metus.vitae@eget.ca
95;"Nelle Sanford";57;orci.luctus.et@egettincidunt.co.uk
103;"Noelani C. Cardenas";47;eget.metus.eu@vestibulumMaurismagna.co.uk
69;"Oleg Lowery";51;pellentesque.eget.dictum@diamvel.edu
67;"Oleg R. Francis";56;orci.sem@convalliserateget.edu
21;"Omar Ruiz";97;malesuada.Integer@aliquetlibero.ca
19;"Otto V. Castillo";18;dis.parturient.montes@mi.co.uk
37;"Patrick K. Bass";51;vitae.risus@mollis.edu
87;"Phillip Buckner";70;commodo@tinciduntneque.org
79;"Phyllis Cantrell";62;magnis.dis@Crassedleo.ca
41;"Raymond Santiago";63;Cras@afacilisis.ca
56;"Reuben Ball";96;felis@ultriciessemmagna.edu
80;"Robin F. Kirk";64;rutrum@vitaeerat.com
89;"Sean Castaneda";34;vulputate.eu.odio@Fuscedolorquam.ca
46;"Sean Z. Keller";45;Quisque@nec.edu
83;"September Baird";65;luctus@lobortisnisi.ca
85;"Seth N. Buchanan";20;lectus.justo.eu@erat.co.uk
74;"Shea Morrow";24;tincidunt.vehicula@temporaugue.com
94;"Sonya C. Foreman";47;ultricies@lectusantedictum.org
6;"Steel English";83;semper@nonmagnaNam.org
71;"Sybill Fitzpatrick";43;Nulla@egestasFuscealiquet.org
53;"Talon Gates";40;eu.eros@massaMaurisvestibulum.net
49;"Troy Mcintyre";20;vulputate.velit.eu@tinciduntDonec.ca
20;"Valentine Z. Colon";75;Sed.nunc.est@cursus.com
64;"Vaughan E. Leblanc";82;Donec@Mauris.co.uk
36;"Venus N. Booth";19;lorem.vehicula@neque.co.uk
86;"Victoria E. Hale";58;urna.justo.faucibus@adipiscingelit.co.uk
90;"Whilemina Garza";81;Integer.tincidunt.aliquam@anteipsum.co.uk
23;"Xander Huff";85;nisl.Maecenas@egetmassa.com
65;"Yoshi Acevedo";28;euismod@non.co.uk
42;"Zelenia Terrell";63;fringilla@ligulaAeneaneuismod.ca
